2023-09-24 15:30:08,457 - MHScrapper - INFO - Ministry of Health data scrapping has started...
2023-09-24 15:30:23,557 - MHScrapper - INFO - getting table tag element for page 1
2023-09-24 15:31:29,158 - MHScrapper - INFO - page:1, row:90
2023-09-24 15:31:29,912 - MHScrapper - INFO - page:1, row:91
2023-09-24 15:31:30,648 - MHScrapper - INFO - page:1, row:92
2023-09-24 15:31:31,390 - MHScrapper - INFO - page:1, row:93
2023-09-24 15:31:32,130 - MHScrapper - INFO - page:1, row:94
2023-09-24 15:31:32,922 - MHScrapper - INFO - page:1, row:95
2023-09-24 15:31:33,672 - MHScrapper - INFO - page:1, row:96
2023-09-24 15:31:34,443 - MHScrapper - INFO - page:1, row:97
2023-09-24 15:31:35,244 - MHScrapper - INFO - page:1, row:98
2023-09-24 15:31:35,939 - MHScrapper - INFO - page:1, row:99
2023-09-24 15:31:36,734 - MHScrapper - INFO - page:1, row:100
2023-09-24 15:31:42,477 - MHScrapper - INFO - getting table tag element for page 2
2023-09-24 15:31:42,531 - MHScrapper - INFO - page:2, row:1
2023-09-24 15:31:43,353 - MHScrapper - INFO - page:2, row:2
2023-09-24 15:31:44,090 - MHScrapper - INFO - page:2, row:3
2023-09-24 15:31:44,850 - MHScrapper - INFO - page:2, row:4
2023-09-24 15:31:45,588 - MHScrapper - INFO - page:2, row:5
2023-09-24 15:31:46,295 - MHScrapper - INFO - page:2, row:6
2023-09-24 15:31:47,043 - MHScrapper - INFO - page:2, row:7
2023-09-24 15:31:47,786 - MHScrapper - INFO - page:2, row:8
2023-09-24 15:31:48,564 - MHScrapper - INFO - page:2, row:9
2023-09-24 15:31:49,316 - MHScrapper - INFO - page:2, row:10
2023-09-24 15:31:50,049 - MHScrapper - INFO - page:2, row:11
2023-09-24 15:31:50,750 - MHScrapper - INFO - page:2, row:12
2023-09-24 15:31:51,463 - MHScrapper - INFO - page:2, row:13
2023-09-24 15:31:52,177 - MHScrapper - INFO - page:2, row:14
2023-09-24 15:31:52,996 - MHScrapper - INFO - page:2, row:15
2023-09-24 15:31:53,777 - MHScrapper - INFO - page:2, row:16
2023-09-24 15:31:54,564 - MHScrapper - INFO - page:2, row:17
2023-09-24 15:31:55,314 - MHScrapper - INFO - page:2, row:18
2023-09-24 15:31:56,056 - MHScrapper - INFO - page:2, row:19
2023-09-24 15:31:56,811 - MHScrapper - INFO - page:2, row:20
2023-09-24 15:31:57,567 - MHScrapper - INFO - page:2, row:21
2023-09-24 15:31:58,314 - MHScrapper - INFO - page:2, row:22
2023-09-24 15:31:59,070 - MHScrapper - INFO - page:2, row:23
2023-09-24 15:31:59,823 - MHScrapper - INFO - page:2, row:24
2023-09-24 15:32:00,593 - MHScrapper - INFO - page:2, row:25
2023-09-24 15:32:01,350 - MHScrapper - INFO - page:2, row:26
2023-09-24 15:32:02,087 - MHScrapper - INFO - page:2, row:27
2023-09-24 15:32:02,911 - MHScrapper - INFO - page:2, row:28
2023-09-24 15:32:03,708 - MHScrapper - INFO - page:2, row:29
2023-09-24 15:32:04,484 - MHScrapper - INFO - page:2, row:30
2023-09-24 15:32:05,205 - MHScrapper - INFO - page:2, row:31
2023-09-24 15:32:05,999 - MHScrapper - INFO - page:2, row:32
2023-09-24 15:32:06,725 - MHScrapper - INFO - page:2, row:33
2023-09-24 15:32:07,503 - MHScrapper - INFO - page:2, row:34
2023-09-24 15:32:08,216 - MHScrapper - INFO - page:2, row:35
2023-09-24 15:32:08,932 - MHScrapper - INFO - page:2, row:36
2023-09-24 15:32:09,690 - MHScrapper - INFO - page:2, row:37
2023-09-24 15:32:10,466 - MHScrapper - INFO - page:2, row:38
2023-09-24 15:32:11,262 - MHScrapper - INFO - page:2, row:39
2023-09-24 15:32:12,018 - MHScrapper - INFO - page:2, row:40
2023-09-24 15:32:12,773 - MHScrapper - INFO - page:2, row:41
2023-09-24 15:32:13,516 - MHScrapper - INFO - page:2, row:42
2023-09-24 15:32:14,313 - MHScrapper - INFO - page:2, row:43
2023-09-24 15:32:15,126 - MHScrapper - INFO - page:2, row:44
2023-09-24 15:32:15,893 - MHScrapper - INFO - page:2, row:45
2023-09-24 15:32:16,604 - MHScrapper - INFO - page:2, row:46
2023-09-24 15:32:17,396 - MHScrapper - INFO - page:2, row:47
2023-09-24 15:32:18,146 - MHScrapper - INFO - page:2, row:48
2023-09-24 15:32:18,906 - MHScrapper - INFO - page:2, row:49
2023-09-24 15:32:19,661 - MHScrapper - INFO - page:2, row:50
2023-09-24 15:32:20,417 - MHScrapper - INFO - page:2, row:51
2023-09-24 15:32:21,170 - MHScrapper - INFO - page:2, row:52
2023-09-24 15:32:21,964 - MHScrapper - INFO - page:2, row:53
2023-09-24 15:32:22,709 - MHScrapper - INFO - page:2, row:54
2023-09-24 15:32:23,488 - MHScrapper - INFO - page:2, row:55
2023-09-24 15:32:24,286 - MHScrapper - INFO - page:2, row:56
2023-09-24 15:32:25,061 - MHScrapper - INFO - page:2, row:57
2023-09-24 15:32:25,816 - MHScrapper - INFO - page:2, row:58
2023-09-24 15:32:26,565 - MHScrapper - INFO - page:2, row:59
2023-09-24 15:32:27,321 - MHScrapper - INFO - page:2, row:60
2023-09-24 15:32:28,082 - MHScrapper - INFO - page:2, row:61
2023-09-24 15:32:28,825 - MHScrapper - INFO - page:2, row:62
2023-09-24 15:32:29,561 - MHScrapper - INFO - page:2, row:63
2023-09-24 15:32:30,333 - MHScrapper - INFO - page:2, row:64
2023-09-24 15:32:31,077 - MHScrapper - INFO - page:2, row:65
2023-09-24 15:32:31,844 - MHScrapper - INFO - page:2, row:66
2023-09-24 15:32:32,603 - MHScrapper - INFO - page:2, row:67
2023-09-24 15:32:33,373 - MHScrapper - INFO - page:2, row:68
2023-09-24 15:32:34,139 - MHScrapper - INFO - page:2, row:69
2023-09-24 15:32:34,935 - MHScrapper - INFO - page:2, row:70
2023-09-24 15:32:35,742 - MHScrapper - INFO - page:2, row:71
2023-09-24 15:32:36,502 - MHScrapper - INFO - page:2, row:72
2023-09-24 15:32:37,255 - MHScrapper - INFO - page:2, row:73
2023-09-24 15:32:38,025 - MHScrapper - INFO - page:2, row:74
2023-09-24 15:32:38,784 - MHScrapper - INFO - page:2, row:75
2023-09-24 15:32:39,524 - MHScrapper - INFO - page:2, row:76
2023-09-24 15:32:40,295 - MHScrapper - INFO - page:2, row:77
2023-09-24 15:32:41,090 - MHScrapper - INFO - page:2, row:78
2023-09-24 15:32:41,860 - MHScrapper - INFO - page:2, row:79
2023-09-24 15:32:42,667 - MHScrapper - INFO - page:2, row:80
2023-09-24 15:32:43,427 - MHScrapper - INFO - page:2, row:81
2023-09-24 15:32:44,229 - MHScrapper - INFO - page:2, row:82
2023-09-24 15:32:44,990 - MHScrapper - INFO - page:2, row:83
2023-09-24 15:32:45,729 - MHScrapper - INFO - page:2, row:84
2023-09-24 15:32:46,480 - MHScrapper - INFO - page:2, row:85
2023-09-24 15:32:47,245 - MHScrapper - INFO - page:2, row:86
2023-09-24 15:32:47,992 - MHScrapper - INFO - page:2, row:87
2023-09-24 15:32:48,749 - MHScrapper - INFO - page:2, row:88
2023-09-24 15:32:49,514 - MHScrapper - INFO - page:2, row:89
2023-09-24 15:32:50,308 - MHScrapper - INFO - page:2, row:90
2023-09-24 15:32:51,119 - MHScrapper - INFO - page:2, row:91
2023-09-24 15:32:51,919 - MHScrapper - INFO - page:2, row:92
2023-09-24 15:32:52,702 - MHScrapper - INFO - page:2, row:93
2023-09-24 15:32:53,490 - MHScrapper - INFO - page:2, row:94
2023-09-24 15:32:54,254 - MHScrapper - INFO - page:2, row:95
2023-09-24 15:32:55,024 - MHScrapper - INFO - page:2, row:96
2023-09-24 15:32:55,739 - MHScrapper - INFO - page:2, row:97
2023-09-24 15:32:56,508 - MHScrapper - INFO - page:2, row:98
2023-09-24 15:32:57,363 - MHScrapper - INFO - page:2, row:99
2023-09-24 15:32:58,216 - MHScrapper - INFO - page:2, row:100
2023-09-24 15:33:03,979 - MHScrapper - INFO - getting table tag element for page 3
2023-09-24 15:33:04,035 - MHScrapper - INFO - page:3, row:1
2023-09-24 15:33:04,842 - MHScrapper - INFO - page:3, row:2
2023-09-24 15:33:05,658 - MHScrapper - INFO - page:3, row:3
2023-09-24 15:33:06,488 - MHScrapper - INFO - page:3, row:4
2023-09-24 15:33:07,301 - MHScrapper - INFO - page:3, row:5
2023-09-24 15:33:08,151 - MHScrapper - INFO - page:3, row:6
2023-09-24 15:33:08,951 - MHScrapper - INFO - page:3, row:7
2023-09-24 15:33:09,799 - MHScrapper - INFO - page:3, row:8
2023-09-24 15:33:10,597 - MHScrapper - INFO - page:3, row:9
2023-09-24 15:33:11,378 - MHScrapper - INFO - page:3, row:10
2023-09-24 15:33:12,111 - MHScrapper - INFO - page:3, row:11
2023-09-24 15:33:12,878 - MHScrapper - INFO - page:3, row:12
2023-09-24 15:33:13,628 - MHScrapper - INFO - page:3, row:13
2023-09-24 15:33:14,386 - MHScrapper - INFO - page:3, row:14
2023-09-24 15:33:15,167 - MHScrapper - INFO - page:3, row:15
2023-09-24 15:33:15,902 - MHScrapper - INFO - page:3, row:16
2023-09-24 15:33:16,751 - MHScrapper - INFO - page:3, row:17
2023-09-24 15:33:17,603 - MHScrapper - INFO - page:3, row:18
2023-09-24 15:33:18,358 - MHScrapper - INFO - page:3, row:19
2023-09-24 15:33:19,102 - MHScrapper - INFO - page:3, row:20
2023-09-24 15:33:19,971 - MHScrapper - INFO - page:3, row:21
2023-09-24 15:33:20,786 - MHScrapper - INFO - page:3, row:22
2023-09-24 15:33:21,621 - MHScrapper - INFO - page:3, row:23
2023-09-24 15:33:22,438 - MHScrapper - INFO - page:3, row:24
2023-09-24 15:33:23,247 - MHScrapper - INFO - page:3, row:25
2023-09-24 15:33:24,069 - MHScrapper - INFO - page:3, row:26
2023-09-24 15:33:24,827 - MHScrapper - INFO - page:3, row:27
2023-09-24 15:33:25,598 - MHScrapper - INFO - page:3, row:28
2023-09-24 15:33:26,413 - MHScrapper - INFO - page:3, row:29
2023-09-24 15:33:27,223 - MHScrapper - INFO - page:3, row:30
2023-09-24 15:33:27,970 - MHScrapper - INFO - page:3, row:31
2023-09-24 15:33:28,718 - MHScrapper - INFO - page:3, row:32
2023-09-24 15:33:29,532 - MHScrapper - INFO - page:3, row:33
2023-09-24 15:33:30,375 - MHScrapper - INFO - page:3, row:34
2023-09-24 15:33:31,199 - MHScrapper - INFO - page:3, row:35
2023-09-24 15:33:32,034 - MHScrapper - INFO - page:3, row:36
2023-09-24 15:33:32,851 - MHScrapper - INFO - page:3, row:37
